PLAYER,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Ignas Brazdeikis,ORL,Stationary Shooter,321,SF,23,,-1.97,-1.18,-0.79,0.1,-1.46,-1.09,-0.36,-1.56,-0.91,-0.65
Immanuel Quickley,NYK,Primary Ball Handler,"1,483",PG,22,,1.22,1.61,-0.39,3.5,-0.49,0.3,-0.79,0.65,0.71,-0.06
Isaac Bonga,TOR,Stretch Big,69,SF,22,,-1.18,-0.95,-0.23,0.1,-1.05,-0.87,-0.19,-0.13,-0.28,0.15
Isaac Okoro,CLE,Athletic Finisher,"1,689",SF,21,,-0.34,-0.6,0.26,2.2,-1.22,-1.6,0.39,0.72,-0.18,0.9
Isaiah Hartenstein,LAC,Roll + Cut Big,"1,005",C,23,,2.08,0.01,2.07,2.9,1.26,-0.58,1.84,2.04,0.66,1.39
Isaiah Jackson,IND,Roll + Cut Big,407,PF,20,,0.66,-0.6,1.26,0.8,1.21,-0.56,1.77,-0.46,-0.02,-0.44
Isaiah Joe,PHI,Movement Shooter,561,SG,22,,-2.43,-1.37,-1.06,0,-2.42,-1.18,-1.24,-0.7,-0.12,-0.58
Isaiah Livers,DET,Movement Shooter,215,SF,23,,-1.24,-0.69,-0.55,0.2,-1.19,-1.07,-0.12,0,0,0
Isaiah Roby,OKC,Stretch Big,652,PF,24,,-1.22,-1.41,0.19,0.5,-0.47,-1.08,0.62,-0.44,-0.24,-0.2
Isaiah Stewart,DET,Roll + Cut Big,"1,577",C,20,,-0.85,-2.72,1.87,1.5,-2.03,-2.45,0.42,-0.62,-2.24,1.61
Isaiah Thomas,LAL/DAL/CHO,Secondary Ball Handler,209,PG,33,,-0.76,-0.24,-0.51,0.2,-0.84,-0.18,-0.66,0,0,0
Isaiah Todd,WAS,Movement Shooter,41,PF,20,,-0.14,-0.19,0.05,0.1,-0.05,-0.07,0.03,-0.1,-0.12,0.02
Ish Smith,CHO/WAS,Slasher,874,PG,33,,-2.1,-1.64,-0.46,0.1,-1.4,-1.14,-0.26,-1.22,-1.07,-0.16
Ish Wainright,PHO,Athletic Finisher,287,PF,27,,-2.43,-1.8,-0.63,0,-2.72,-2.11,-0.61,0.12,0.01,0.13
Ivica Zubac,LAC,Post Scorer,"1,643",C,25,,0.53,-1.04,1.57,3.1,0.65,-0.83,1.47,0.1,-0.26,0.35
Ja Morant,MEM,Slasher,"1,862",PG,22,,3.71,4.09,-0.38,7.4,2.5,3.24,-0.74,0.67,0.7,-0.03
Jabari Parker,BOS,Stretch Big,112,PF,27,,-1.39,-0.67,-0.72,0.1,-1.24,-0.69,-0.56,-0.24,0.51,-0.75
Jaden McDaniels,MIN,Athletic Finisher,"1,749",PF,21,,-1.25,-1.9,0.65,1.3,-1.56,-1.71,0.15,0.15,-1.1,1.25
Jaden Springer,PHI,Roll + Cut Big,6,SG,19,,-0.9,-0.33,-0.57,0,-0.9,-0.33,-0.57,0.01,0.01,0.02
Jae Crowder,PHO,Stationary Shooter,"1,692",PF,31,,1.16,-0.51,1.67,3.9,1.49,-0.38,1.87,1.91,1.28,0.63
Jae'Sean Tate,HOU,Stretch Big,"1,805",SF,26,,-1.25,-0.99,-0.26,1.3,-1.26,-0.68,-0.57,-1.72,-1.24,-0.48
Jahmi'us Ramsey,SAC,Secondary Ball Handler,134,SG,20,,-1.18,-0.5,-0.68,0.1,-1.21,-0.73,-0.47,0.13,0.7,-0.57
Jaime Echenique,WAS,Low Minute,3,C,24,,-0.1,-0.09,-0.01,0,-0.1,-0.08,-0.01,0,0,0
Jake Layman,MIN,Athletic Finisher,199,SF,28,,-1.85,-1.46,-0.39,0.1,-1.88,-1.43,-0.45,0.1,0.11,0.01
Jakob Poeltl,SAS,Roll + Cut Big,"1,749",C,26,,3.26,1.7,1.56,6.4,0.8,0.02,0.78,2.12,2.05,0.06
Jalen Brunson,DAL,Slasher,"2,212",PG,25,,1.22,1.62,-0.39,5.2,0.33,0.55,-0.22,1.67,2.07,-0.41
Jalen Green,HOU,Secondary Ball Handler,"1,776",SG,20,,-3.69,-1.59,-2.11,-1.5,-2.44,-0.5,-1.94,-2.99,-2.37,-0.62
Jalen Johnson,ATL,Stretch Big,69,PF,20,,-1.17,-1.08,-0.08,0.1,-0.68,-0.68,0,0.01,-0.11,0.11
Jalen McDaniels,CHO,Stationary Shooter,759,SF,24,,-2.25,-1.77,-0.49,0,-1.83,-1.59,-0.24,-0.77,-0.28,-0.49
Jalen Smith,PHO/IND,Stretch Big,778,PF,22,,-0.17,0.39,-0.56,1.1,0.09,-0.02,0.11,0.34,0.33,0.02
Jalen Suggs,ORL,Primary Ball Handler,"1,273",PG,20,,-1.26,-2.02,0.76,0.9,-1.63,-1.65,0.02,-0.52,-0.7,0.18
James Bouknight,CHO,Movement Shooter,296,SG,21,,-2.15,-0.06,-2.09,0,-2.13,-0.34,-1.8,-0.51,0.4,-0.91
James Ennis III,BRK/LAC/DEN,Stretch Big,56,SF,31,,-0.41,-0.21,-0.2,0.1,-0.47,-0.22,-0.25,0,0,0
James Harden,BRK/PHI,Shot Creator,"2,045",PG-SG,32,,2.59,3.25,-0.66,6.6,3.14,3.06,0.09,0.3,1.53,-1.23
James Johnson,BRK,Stretch Big,"1,091",PF,35,,-1.37,-0.88,-0.5,0.7,-1.32,-1.47,0.15,0.19,0.19,0.01
Jamorko Pickett,DET,Stretch Big,89,PF,24,,-1,-0.76,-0.25,0.1,-0.89,-0.9,0.01,0.14,-0.11,0.25
JaMychal Green,DEN,Stretch Big,953,PF,31,,-0.45,-1.04,0.59,1.2,0.18,-0.57,0.75,-2.35,-1.43,-0.92
JaQuori McLaughlin,DAL,Low Minute,11,PG,24,,-0.7,-0.27,-0.43,0,-0.54,-0.25,-0.29,-0.17,-0.04,-0.13
Jared Butler,UTA,Shot Creator,288,SG,21,,-1.53,0.07,-1.6,0.2,-0.66,0.11,-0.76,-0.6,-0.33,-0.27
Jared Harper,NOP,Low Minute,10,PG,24,,-0.49,-0.35,-0.14,0,-0.3,-0.26,-0.04,0,0,0
Jaren Jackson Jr.,MEM,Stretch Big,"1,940",PF,22,,3.1,0.7,2.4,6.9,2.45,0.39,2.06,2.6,0.58,2.02
Jarred Vanderbilt,MIN,Roll + Cut Big,"1,673",PF,22,,0.1,-0.89,0.99,2.7,0.8,-0.94,1.74,-0.11,0.1,-0.21
Jarrett Allen,CLE,Roll + Cut Big,"1,810",C,23,,2.8,0.58,2.23,6.1,2.31,0.59,1.72,1.52,0.57,0.95
Jarrett Culver,MEM,Secondary Ball Handler,274,SG,23,,-1.69,-0.75,-0.94,0.1,-1.67,-1.08,-0.59,1.11,0.95,0.16
Jarron Cumberland,POR,Low Minute,12,SG,24,,-0.29,-0.23,-0.06,0,-0.41,-0.32,-0.09,0,0,0
JaVale McGee,PHO,Roll + Cut Big,"1,037",C,34,,1.86,0.28,1.58,2.9,1.26,-0.05,1.31,1.39,0.24,1.15
Javin DeLaurier,MIL,Low Minute,3,C,23,,-0.52,-0.2,-0.32,0,-0.51,-0.23,-0.28,0,0,0
Javonte Green,CHI,Stretch Big,"1,309",SF,28,,-0.26,-1.22,0.95,1.8,-0.55,-1.04,0.5,0.16,-0.69,0.85
Javonte Smart,MIL/MIA,Secondary Ball Handler,164,PG,22,,-1.72,-1.38,-0.34,0.1,-1.54,-1.21,-0.33,0.84,0.38,0.46
Jaxson Hayes,NOP,Roll + Cut Big,"1,158",C,21,,0.2,-0.02,0.22,1.9,-0.33,-0.87,0.53,-1.39,-1.07,-0.31
Jay Huff,LAL,Low Minute,20,C,24,,-0.22,-0.24,0.02,0,-0.4,-0.19,-0.22,0.39,0.11,0.28
Jay Scrubb,LAC,Secondary Ball Handler,121,SG,21,,-0.78,-0.64,-0.14,0.1,-0.91,-0.72,-0.19,0.27,0.31,-0.04
Jaylen Brown,BOS,Stationary Shooter,"1,958",SF,25,,1.41,1.17,0.24,4.8,1.72,1.61,0.1,-0.19,-0.86,0.67
Jaylen Hoard,OKC,Roll + Cut Big,2,SF,22,,-0.1,-0.21,0.12,0,-0.08,-0.21,0.13,0,0,0
Jaylen Morris,SAS,Low Minute,16,SG,26,,-0.73,-0.45,-0.28,0,-0.81,-0.48,-0.33,0,0,0
Jaylen Nowell,MIN,Secondary Ball Handler,836,SG,22,,0.14,1.42,-1.27,1.4,-0.44,0.65,-1.09,0.11,0.63,-0.52
Jaysean Paige,DET,Secondary Ball Handler,7,PG,27,,-0.55,-0.45,-0.1,0,-0.35,-0.33,-0.02,0,0,0
Jayson Tatum,BOS,Shot Creator,"2,506",SF,24,,4.8,3.84,0.96,11.6,3.64,2.94,0.69,1.7,1.19,0.51
Jeff Dowtin,GSW/MIL,Athletic Finisher,31,PG,24,,-0.55,-0.13,-0.42,0,-0.65,-0.2,-0.45,0.14,-0.04,0.18
Jeff Green,DEN,Stretch Big,"1,658",C,35,,-1.04,-0.85,-0.2,1.4,-0.8,-0.66,-0.14,0.29,1.38,-1.09
Jemerrio Jones,LAL,Roll + Cut Big,15,SF,26,,-0.38,-0.14,-0.24,0,-0.4,-0.15,-0.25,0,0,0
Jerami Grant,DET,Shot Creator,"1,471",PF,28,,0.21,-0.42,0.64,2.5,-0.5,-0.13,-0.38,-1.57,-1.75,0.19
Jeremiah Robinson-Earl,OKC,Stretch Big,"1,014",C,21,,-2.09,-2.03,-0.07,0.2,-1.39,-1.7,0.31,-2.47,-1.58,-0.89
Jeremy Lamb,IND/SAC,Secondary Ball Handler,777,SF-SG,29,,-0.09,0.14,-0.23,1.2,-0.07,0.09,-0.17,-0.92,-0.19,-0.73
Jericho Sims,NYK,Roll + Cut Big,302,PF,23,,-1.52,-2.62,1.1,0.2,-1.61,-2.63,1.02,0.23,-0.11,0.35
Jevon Carter,BRK/MIL,Stationary Shooter,758,PG,26,,-1.66,-1,-0.66,0.3,-1.55,-1.03,-0.52,-1.8,-1.24,-0.56
Jimmy Butler,MIA,Slasher,"1,650",SF,32,,4.03,3.21,0.82,6.8,4.17,3.1,1.07,1.49,1.13,0.35
Jock Landale,SAS,Stretch Big,492,C,26,,-1.56,-0.27,-1.29,0.3,-1.41,-0.26,-1.15,0.34,0.06,0.28
Joe Harris,BRK,Movement Shooter,423,SF,30,,-2.58,-2.59,0.01,-0.1,-1.82,-1.36,-0.46,-1.73,-1.87,0.14
Joe Ingles,UTA,Stationary Shooter,"1,122",SF,34,,-0.81,-0.16,-0.66,1.1,-0.51,0.03,-0.54,0.5,0.87,-0.37
Joe Johnson,BOS,Low Minute,2,SG,40,,-0.88,-0.21,-0.67,0,-0.85,-0.19,-0.65,0,0,0
Joe Wieskamp,SAS,Movement Shooter,132,SG,22,,-1.17,-0.7,-0.47,0.1,-1.41,-0.92,-0.49,0.08,0.15,-0.06
Joel Ayayi,WAS,Athletic Finisher,20,SG,22,,-0.14,-0.18,0.04,0,-0.15,-0.13,-0.01,-0.06,-0.12,0.06
Joel Embiid,PHI,Post Scorer,"1,939",C,28,,6.51,4.45,2.06,10.9,5.63,4.37,1.26,1.03,0.43,0.6
John Collins,ATL,Versatile Big,"1,663",PF,24,,1.12,0.05,1.07,3.8,1.49,0.92,0.58,0.78,0.81,-0.03
John Konchar,MEM,Athletic Finisher,"1,111",SG,25,,0.57,-0.09,0.66,2.1,-0.65,-1.34,0.69,1.83,1.34,0.48
Jon Teske,MEM,Low Minute,8,C,24,,-1.26,-0.52,-0.74,0,-1.23,-0.53,-0.7,0,0,0
Jonas Valanciunas,NOP,Post Scorer,"2,017",C,29,,1.96,0.45,1.51,5.7,1.3,0.63,0.67,-0.45,-1.4,0.94
Jonathan Kuminga,GSW,Stretch Big,973,SF,19,,-1.38,-0.47,-0.91,0.6,-0.23,-0.07,-0.16,0.7,0.14,0.56
Jordan Bell,CHI,Low Minute,2,C,27,,-0.38,-0.1,-0.28,0,-0.4,-0.14,-0.25,0,0,0
Jordan Clarkson,UTA,Secondary Ball Handler,"1,849",SG,29,,1.2,2.05,-0.85,4.3,0.48,1.85,-1.37,2.69,2.15,0.54
Jordan Goodwin,WAS,Secondary Ball Handler,6,SG,23,,-0.2,-0.15,-0.05,0,-0.11,-0.09,-0.01,0,0,0
Jordan McLaughlin,MIN,Secondary Ball Handler,730,PG,25,,-0.5,-0.71,0.21,0.9,-0.3,-0.52,0.23,-1.16,-1.12,-0.04
Jordan Nwora,MIL,Stationary Shooter,"1,058",SF,23,,-2.17,-1.23,-0.94,0.1,-1.54,-1.07,-0.47,-1.91,-1.1,-0.8
Jordan Poole,GSW,Primary Ball Handler,"1,895",SG,22,,1.46,1.43,0.03,4.7,0.9,1.19,-0.29,1.35,-0.34,1.69
Jordan Schakel,WAS,Stretch Big,14,SG,23,,-0.13,-0.05,-0.08,0,-0.16,-0.12,-0.03,0,0,0
Jose Alvarado,NOP,Secondary Ball Handler,645,PG,23,,2.45,1.11,1.34,2,0.52,-0.1,0.62,0.86,0.53,0.33
Josh Christopher,HOU,Secondary Ball Handler,"1,094",SG,20,,-3.59,-1.02,-2.57,-0.9,-2.46,-1.19,-1.27,0.42,0.98,-0.57
Josh Giddey,OKC,Primary Ball Handler,"1,700",SG,19,,-2.07,-2.11,0.04,0.3,-1.35,-1.22,-0.13,-4.06,-3.27,-0.79
Josh Green,DAL,Athletic Finisher,874,SG,21,,-1.6,-1.99,0.39,0.4,-1.43,-1.76,0.34,1.43,0.34,1.09
Josh Hart,NOP/POR,Stationary Shooter,"1,791",SG-SF,27,,-0.02,-0.52,0.5,2.7,0.71,0.12,0.59,-1.4,-0.75,-0.65
Josh Jackson,DET/SAC,Stationary Shooter,726,SF,25,,-2.33,-1.9,-0.43,0,-1.62,-1.61,-0.01,-1.6,-0.36,-1.24
Josh Okogie,MIN,Athletic Finisher,458,SG,23,,-1.22,-2.58,1.37,0.3,-2.44,-2.42,-0.02,1.73,0.26,1.47
Josh Richardson,BOS/SAS,Stationary Shooter,"1,338",SG,28,,-0.92,-0.7,-0.22,1.2,-1.07,-0.91,-0.16,1.09,0.58,0.51
Joshua Primo,SAS,Stationary Shooter,704,SG,19,,-2.77,-1.91,-0.86,-0.2,-2.6,-1.92,-0.68,-0.04,0.21,-0.25
Jrue Holiday,MIL,Shot Creator,"1,923",PG,31,,3.06,2.33,0.73,6.8,1.8,1.68,0.12,2.75,1.57,1.18
JT Thor,CHO,Athletic Finisher,245,PF,19,,-1.95,-1.28,-0.67,0.1,-1.45,-1.53,0.08,0.04,0.47,-0.43
Juan Toscano-Anderson,GSW,Stretch Big,933,SF,28,,-0.6,-1.12,0.52,1.1,-0.26,-1.24,0.98,1.86,1.26,0.6
Juancho Hernangomez,BOS/SAS/UTA,Athletic Finisher,257,PF,26,,-0.97,-0.72,-0.25,0.2,-0.74,-0.43,-0.31,0.04,-0.32,0.36
Julius Randle,NYK,Stretch Big,"2,449",PF,27,,-0.33,-0.18,-0.15,3.2,0.53,0.26,0.27,-0.76,-0.64,-0.12
Justin Anderson,CLE/IND,Stationary Shooter,123,SF,28,,-0.19,0.08,-0.28,0.2,-0.58,-0.32,-0.26,0,0,0
Justin Champagnie,TOR,Stretch Big,274,SF,20,,-1.18,-0.52,-0.66,0.2,-1.79,-1.2,-0.6,0.22,-0.14,0.36
Justin Holiday,IND/SAC,Movement Shooter,"1,861",SF-SG,32,,-1.04,-0.85,-0.19,1.6,-1.21,-0.46,-0.75,0.95,-0.63,1.58
Justin Jackson,BOS/PHO,Stationary Shooter,36,SF,26,,-1.28,-0.66,-0.62,0,-1.33,-0.51,-0.82,0,0,0
Justin Robinson,MIL/SAC/DET,Secondary Ball Handler,304,PG,24,,-2.72,-1.8,-0.92,-0.1,-1.38,-0.86,-0.52,-1.59,-1.18,-0.41
Justise Winslow,LAC/POR,Stretch Big,767,SF,25,,1,0.13,0.87,1.7,0.05,-0.88,0.93,-0.22,0.01,-0.22
Jusuf Nurkic,POR,Post Scorer,"1,579",C,27,,1.87,0.02,1.85,4.4,0.53,0.03,0.5,1.3,0.94,0.36
Juwan Morgan,TOR,Low Minute,27,PF,24,,-1.16,-0.7,-0.45,0,-0.92,-0.6,-0.32,0,0,0
Kai Jones,CHO,Roll + Cut Big,58,C,21,,-1.45,-0.81,-0.65,0,-1.42,-0.83,-0.59,-0.4,-0.23,-0.17
Karl-Anthony Towns,MIN,Versatile Big,"2,214",C,26,,2.85,3.12,-0.27,7.5,2.99,2.62,0.37,-0.24,1.14,-1.37
Keifer Sykes,IND,Secondary Ball Handler,478,PG,28,,-2.79,-1.65,-1.14,-0.1,-2.75,-1.57,-1.18,0,0,0
Keita Bates-Diop,SAS,Roll + Cut Big,821,SF,26,,-1.51,-1.83,0.31,0.4,-1.93,-2,0.07,2.93,1.06,1.87
Kelan Martin,IND/BOS,Stationary Shooter,450,SF,26,,-2.28,-0.78,-1.5,0,-1.71,-0.91,-0.79,-1.51,0.65,-2.16
Keldon Johnson,SAS,Stationary Shooter,"2,088",SF,22,,-0.72,-0.43,-0.29,2.2,-0.68,0.04,-0.72,-0.67,-1.6,0.93
Keljin Blevins,POR,Movement Shooter,166,SF,26,,-2.69,-1.48,-1.21,0,-1.68,-1.13,-0.55,-0.53,-0.25,-0.28
Kelly Olynyk,DET,Stretch Big,649,C,30,,-0.34,-0.02,-0.31,0.9,-0.37,-0.3,-0.08,0.3,0.32,-0.02
Kelly Oubre Jr.,CHO,Stationary Shooter,"1,809",SF,26,,-1.21,0.48,-1.7,1.3,-0.49,0.8,-1.29,-0.78,0.4,-1.18
Kemba Walker,NYK,Primary Ball Handler,948,PG,31,,-0.76,-0.42,-0.34,1,0.18,0.54,-0.36,-1.36,-1.25,-0.11
Kenrich Williams,OKC,Stretch Big,"1,072",SF,27,,-0.09,-1.07,0.99,1.6,-1.49,-1.29,-0.2,1.48,-0.02,1.5
Kent Bazemore,LAL,Stationary Shooter,518,SF,32,,-1.84,-2.72,0.89,0.2,-1.93,-2.07,0.14,-0.46,-1.18,0.72
Kentavious Caldwell-Pope,WAS,Movement Shooter,"2,050",SG,29,,-1.26,-1.04,-0.21,1.5,-0.92,-0.45,-0.46,0.15,0.01,0.16
Kenyon Martin Jr.,HOU,Stretch Big,"1,433",SF,21,,-1.88,0.25,-2.13,0.4,-1.94,-0.84,-1.1,0.92,1.66,-0.74
Keon Johnson,LAC/POR,Secondary Ball Handler,372,SG,20,,-2.58,-0.92,-1.66,-0.1,-1.32,-0.91,-0.4,0.6,0.55,0.05
Kessler Edwards,BRK,Stretch Big,816,SF,21,,-2.05,-2.02,-0.02,0.2,-2.31,-2.24,-0.07,0.07,0.06,0.02
Kevin Durant,BRK,Shot Creator,"1,647",PF,33,,3.78,3.41,0.37,6.6,2.64,3.1,-0.46,1.9,1.61,0.29
Kevin Huerter,ATL,Movement Shooter,"1,847",SG,23,,-0.38,-0.08,-0.29,2.4,-1.08,-0.34,-0.74,1.16,0.5,0.66
Kevin Knox II,NYK/ATL,Athletic Finisher,188,SF,22,,-1.13,-0.44,-0.68,0.1,-0.75,-0.42,-0.33,-0.37,0.15,-0.53
Kevin Love,CLE,Versatile Big,"1,427",PF,33,,1.58,1.66,-0.08,3.7,2.07,2.06,0.01,-0.57,-0.23,-0.34
Kevin Pangos,CLE,Secondary Ball Handler,166,PG,29,,-1.55,-0.78,-0.77,0.1,-1.28,-0.76,-0.52,-1.21,-0.77,-0.45
Kevin Porter Jr.,HOU,Primary Ball Handler,"1,554",PG,21,,-2.24,-1.3,-0.94,0.1,-1.3,-0.24,-1.06,-1.07,-1.22,0.14
Kevon Looney,GSW,Roll + Cut Big,"1,539",C,26,,1.08,-0.53,1.62,3.5,1.66,-0.47,2.14,0.01,0.42,-0.42
Khem Birch,TOR,Roll + Cut Big,858,C,29,,-0.99,-0.41,-0.59,0.8,-1.22,-1.27,0.05,0.79,0.84,-0.06
Khris Middleton,MIL,Shot Creator,"1,911",SF,30,,1.75,1.56,0.19,5.1,1.79,1.92,-0.13,1.74,0.7,1.04
Killian Hayes,DET,Primary Ball Handler,"1,371",PG,20,,-1.96,-2.49,0.53,0.3,-2.45,-2.58,0.13,-2.19,-1.77,-0.42
Killian Tillie,MEM,Stretch Big,461,C,24,,-1.7,-1.72,0.02,0.2,-1.83,-1.96,0.12,0.64,0.67,-0.02
Kira Lewis Jr.,NOP,Secondary Ball Handler,341,PG,20,,-2.65,-1.59,-1.06,-0.1,-1.9,-0.75,-1.15,-1.44,-1.2,-0.24
Klay Thompson,GSW,Off Screen Shooter,694,SG,32,,1.07,1.46,-0.4,1.6,0.99,1.76,-0.77,0,0,0
Kris Dunn,POR,Secondary Ball Handler,123,PG,28,,-0.85,-0.27,-0.57,0.1,-0.57,-0.72,0.15,0,0,0
Kristaps Porzingis,DAL/WAS,Versatile Big,"1,212",PF,26,,3.44,1.65,1.79,4.6,3.26,2.1,1.16,0.91,0.06,0.85
Kyle Anderson,MEM,Athletic Finisher,"1,264",PF,28,,-0.36,-1.29,0.93,1.6,0.41,-0.87,1.28,-1.63,-0.02,-1.6
Kyle Guy,MIA,Movement Shooter,186,SG,24,,-2.04,-1.53,-0.52,0,-1.34,-0.87,-0.47,0,0,0
Kyle Kuzma,WAS,Movement Shooter,"2,204",PF,26,,-0.72,-0.19,-0.53,2.3,0.19,0.17,0.02,-1.14,-0.42,-0.71
Kyle Lowry,MIA,Primary Ball Handler,"1,879",PG,35,,1.68,0.18,1.51,5,1.73,0.71,1.02,0.73,0.14,0.59
Kyrie Irving,BRK,Shot Creator,686,PG,29,,2.68,3.14,-0.46,2.3,2.05,2.7,-0.64,0,0,0
KZ Okpala,MIA,Stretch Big,244,PF,22,,-0.33,-1.02,0.69,0.3,-0.88,-1.03,0.15,0.44,-0.07,0.51
Lamar Stevens,CLE,Athletic Finisher,782,PF,24,,-2.1,-2.36,0.26,0.1,-2.01,-2.1,0.09,0.03,0.06,-0.03
LaMarcus Aldridge,BRK,Post Scorer,"1,027",C,36,,0.19,0.59,-0.4,1.7,-0.05,0.21,-0.27,0.11,0.98,-0.87
LaMelo Ball,CHO,Primary Ball Handler,"2,087",PG,20,,0.83,1.34,-0.51,4.4,1.68,2.05,-0.37,-0.72,-0.1,-0.62
Lance Stephenson,ATL/IND,Secondary Ball Handler,650,SG-SF,31,,-0.34,0.66,-0.99,0.9,-0.63,-0.07,-0.56,0,0,0
Landry Shamet,PHO,Movement Shooter,"1,219",SG,25,,-0.78,-0.85,0.06,1.2,-1.14,-0.2,-0.94,0.96,-0.81,1.77
Langston Galloway,BRK/MIL,Secondary Ball Handler,107,SG,30,,-0.44,-0.44,-0.01,0.1,-0.82,-0.49,-0.32,0,0,0
Larry Nance Jr.,POR,Stretch Big,858,PF,29,,-0.81,-1.02,0.22,0.9,-0.77,-1.08,0.31,0.41,0.42,0.01
Lauri Markkanen,CLE,Stretch Big,"1,584",PF,24,,1.76,1.27,0.49,4.3,0.89,0.22,0.67,1.39,2,-0.61
Leandro Bolmaro,MIN,Secondary Ball Handler,210,SF,21,,-2.47,-1.92,-0.55,0,-2.7,-1.82,-0.87,0.93,0.68,0.24
LeBron James,LAL,Stretch Big,"2,003",SF,37,,3.75,3.5,0.25,8,3.1,3.36,-0.26,0.19,0.73,-0.53
Lindell Wigginton,MIL,Movement Shooter,121,PG,23,,-1.58,-0.93,-0.66,0.1,-1.13,-0.87,-0.26,0,0,0
Lindy Waters III,OKC,Movement Shooter,287,SG,24,,-0.19,-0.63,0.45,0.4,-0.51,-0.84,0.33,0,0,0
Lonnie Walker IV,SAS,Secondary Ball Handler,"1,505",SG,23,,-2.62,-0.38,-2.25,-0.3,-1.63,-0.19,-1.44,-0.26,-0.07,-0.19
Lonzo Ball,CHI,Primary Ball Handler,"1,212",PG,24,,0.67,-1.22,1.89,2.4,1.06,0.2,0.86,0.24,-0.99,1.23
Lou Williams,ATL,Secondary Ball Handler,737,PG,35,,-1.43,-0.15,-1.27,0.4,-1.18,-0.21,-0.97,-0.16,-0.27,0.12
Louis King,SAC,Secondary Ball Handler,104,SF,22,,-0.81,-0.37,-0.44,0.1,-0.51,-0.34,-0.17,-0.34,-0.06,-0.28
Luguentz Dort,OKC,Stationary Shooter,"1,665",SF,22,,-1.41,-1.23,-0.17,1,-1.54,-0.86,-0.67,-0.38,-0.77,0.39
Luka Doncic,DAL,Shot Creator,"1,996",PG,23,,2.38,2.93,-0.56,6.2,4.12,3.74,0.39,-0.25,0.89,-1.15
Luka Garza,DET,Stretch Big,358,C,23,,-0.83,-0.17,-0.66,0.4,-1.54,-0.38,-1.17,-0.45,-0.58,0.13
Luke Kennard,LAC,Movement Shooter,"1,706",SG,25,,-0.35,-0.25,-0.1,2.2,-1.23,-0.46,-0.77,1.47,0.17,1.3
Luke Kornet,CLE/MIL/BOS,Versatile Big,37,C,26,,-0.74,-0.4,-0.35,0,-0.79,-0.33,-0.46,0,0,0
Mac McClung,CHI,Slasher,3,PG,23,,-0.4,-0.13,-0.27,0,-0.4,-0.15,-0.26,0,0,0
Malachi Flynn,TOR,Secondary Ball Handler,479,PG,23,,-1.21,-0.13,-1.08,0.4,-0.95,-0.56,-0.4,-1.32,-0.42,-0.9
Malcolm Brogdon,IND,Primary Ball Handler,"1,206",PG,29,,2.24,2.68,-0.45,3.6,1.22,1.96,-0.73,2,1.59,0.41
Malcolm Hill,ATL/CHI,Athletic Finisher,197,SF-SG,26,,-1.14,-0.84,-0.3,0.2,-1.04,-0.73,-0.32,0,0,0
Malik Beasley,MIN,Movement Shooter,"1,814",SG,25,,-0.54,0.43,-0.97,2.1,-0.76,0.78,-1.53,-1.78,-1.53,-0.25
Malik Fitts,UTA/BOS,Low Minute,45,PF,24,,-1.33,-0.54,-0.79,0,-0.77,-0.22,-0.56,-0.41,-0.25,-0.16
Malik Monk,LAL,Movement Shooter,"1,821",SG,24,,-0.69,0.65,-1.34,2,-1.29,-0.26,-1.03,-0.06,0.48,-0.54
Malik Newman,CLE,Slasher,8,PG,25,,-0.54,-0.3,-0.25,0,-0.61,-0.33,-0.28,0,0,0
Mamadi Diakite,OKC,Roll + Cut Big,188,PF,25,,-1.47,-2.25,0.77,0.1,-0.79,-1.72,0.93,0,0,0
Marcus Garrett,MIA,Roll + Cut Big,128,SG,23,,-0.83,-0.92,0.09,0.1,-1.1,-1.21,0.11,0.09,0.03,0.06
Marcus Morris Sr.,LAC,Shot Creator,"1,377",PF,32,,-1.58,-0.35,-1.22,0.7,-0.25,0.05,-0.3,-0.55,-0.07,-0.49
Marcus Smart,BOS,Primary Ball Handler,"2,026",PG,28,,2.01,0.89,1.12,5.8,1.71,0.37,1.34,2.67,2.08,0.59
Markelle Fultz,ORL,Shot Creator,162,PG,23,,-0.11,-0.43,0.32,0.2,0.05,-0.19,0.24,0,0,0
Markieff Morris,MIA,Versatile Big,252,PF,32,,-2.26,-0.98,-1.28,0,-1.9,-0.87,-1.03,-0.62,-0.05,-0.57
Marko Simonovic,CHI,Stretch Big,35,C,22,,-0.44,-0.25,-0.19,0,-0.51,-0.24,-0.28,0.24,-0.02,0.26
Markus Howard,DEN,Movement Shooter,149,SG,23,,-0.73,0.31,-1.04,0.2,-0.59,0.17,-0.77,-0.8,0.14,-0.94
Marquese Chriss,DAL,Roll + Cut Big,281,PF,24,,-1.32,-1.84,0.52,0.2,-0.2,-0.98,0.79,0,0,0
Marvin Bagley III,SAC/DET,Roll + Cut Big,"1,001",PF,23,,-1,-0.13,-0.86,0.9,-0.78,-0.38,-0.4,1.42,1.45,-0.03
Mason Jones,LAL,Stretch Big,9,SG,23,,-0.3,-0.09,-0.2,0,-0.33,-0.07,-0.26,0,0,0
