PLAYER,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Tyler Herro,MIA,Primary Ball Handler,"1,926",SG,22,,-0.42,0.96,-1.38,2.4,0.14,1.03,-0.88,-1.52,-0.06,-1.46
Tyler Johnson,PHI/SAS,Stationary Shooter,91,PG,29,,-1.02,-0.58,-0.44,0.1,-1.02,-0.63,-0.39,0,0,0
Tyrell Terry,MEM,Low Minute,3,PG,21,,-1.18,-0.44,-0.74,0,-1.21,-0.51,-0.71,0,0,0
Tyrese Haliburton,SAC/IND,Stationary Shooter,"2,342",SG-PG,22,,0.43,0.85,-0.42,4.3,0.83,0.96,-0.13,0.28,0.71,-0.43
Tyrese Maxey,PHI,Primary Ball Handler,"2,279",PG,21,,-0.2,0.8,-1,3.2,0.16,0.53,-0.37,-1.24,0.45,-1.69
Tyrone Wallace,NOP,Athletic Finisher,72,SG,27,,-0.98,-0.83,-0.15,0.1,-0.81,-0.82,0.01,0,0,0
Tyus Jones,MEM,Primary Ball Handler,"1,323",PG,25,,0.71,0.67,0.04,2.7,0.59,0.92,-0.32,-0.4,-0.69,0.29
Udoka Azubuike,UTA,Roll + Cut Big,195,C,22,,-1.12,-1.46,0.34,0.2,-1.13,-1.45,0.31,0.25,0.03,0.22
Udonis Haslem,MIA,Roll + Cut Big,59,C,41,,-0.59,-0.62,0.03,0.1,-0.64,-0.58,-0.06,0.2,0.14,0.07
Usman Garuba,HOU,Stretch Big,112,PF,20,,0.95,0.09,0.86,0.2,0.25,-0.45,0.7,0.65,0.5,0.15
Vernon Carey Jr.,CHO/WAS,Roll + Cut Big,18,C,21,,-1.05,-0.49,-0.57,0,-1.02,-0.48,-0.54,-0.23,-0.05,-0.18
Victor Oladipo,MIA,Secondary Ball Handler,65,SG,29,,-0.76,-0.65,-0.12,0.1,-0.53,-0.38,-0.15,0,0,0
Vit Krejci,OKC,Stationary Shooter,351,SG,21,,-2.24,-2.03,-0.21,0,-2.49,-2.57,0.08,-0.02,-0.05,0.04
Vlatko Cancar,DEN,Stretch Big,152,PF,24,,-1.1,-1.12,0.01,0.1,-1.19,-0.95,-0.24,-0.52,-0.21,-0.31
Wayne Ellington,LAL,Movement Shooter,742,SG,34,,-2.02,-1.24,-0.79,0.2,-1.87,-0.81,-1.06,-0.97,-0.3,-0.67
Wayne Selden,NYK,Low Minute,19,SG,27,,-0.64,-0.34,-0.3,0,-0.47,-0.3,-0.17,-0.11,-0.07,-0.04
Wendell Carter Jr.,ORL,Stretch Big,"1,792",C,22,,2.01,0.01,2,5.1,0.37,-0.35,0.72,-0.61,-1.13,0.52
Wenyen Gabriel,BRK/LAC/LAL,Stretch Big,180,PF,24,,-0.7,-0.19,-0.52,0.2,-0.71,-0.42,-0.29,0,0,0
Wes Iwundu,ATL,Athletic Finisher,82,SF,27,,-1.37,-0.87,-0.49,0.1,-0.99,-0.88,-0.11,0,0,0
Wesley Matthews,MIL,Stationary Shooter,783,SG,35,,-1.75,-1.19,-0.56,0.3,-2.68,-2.02,-0.66,0.99,0.55,0.44
Will Barton,DEN,Secondary Ball Handler,"1,963",SG,31,,-0.71,-0.41,-0.3,2.1,0.56,0.5,0.06,0.06,-0.29,0.35
Willie Cauley-Stein,DAL/PHI,Roll + Cut Big,183,C,28,,-1.52,-1.76,0.24,0.1,-1.75,-1.68,-0.07,0.27,-0.19,0.46
Willy Hernangomez,NOP,Post Scorer,704,C,27,,0.61,1.51,-0.89,1.4,0.5,0.76,-0.26,-0.24,0.87,-1.12
Xavier Moon,LAC,Secondary Ball Handler,83,SG,27,,-0.8,-0.48,-0.32,0.1,-0.6,-0.41,-0.2,0,0,0
Xavier Sneed,MEM/UTA,Low Minute,19,SF,24,,-0.95,-0.25,-0.7,0,-0.85,-0.21,-0.63,0,0,0
Xavier Tillman,MEM,Roll + Cut Big,538,PF,23,,-0.19,-0.99,0.8,0.8,-0.21,-0.8,0.6,-0.2,0.03,-0.23
