Wingspan,PlayerName,PlayerID
85,Willy Hernangomez,1626195
84.5,Alperen Sengun,1630578
83.5,Franz Wagner,1630532
79.5,Didi Louzada,1629712
81.25,Sam Hauser,1630573
74,Kyle Lowry,200768
84,Michael Porter Jr.,1629008
78.5,Wayne Ellington,201961
82,Yuta Watanabe,1629139
78,Alex Caruso,1627936
80,Danuel House Jr.,1627863
74,Fred VanVleet,1627832
83,Jaden McDaniels,1630183
76,Kyrie Irving,202681
80,LaMelo Ball,1630163
75,Malachi Flynn,1630201
77.5,Jalen Suggs,1630591
82.25,Ziaire Williams,1630533
81.75,Jeremiah Robinson-Earl,1630526
79.25,CJ Elleby,1629604
76,Jared Butler,1630215
77,Coby White,1629632
79.5,Jimmy Butler,202710
84,Marvin Bagley III,1628963
82.75,Maxi Kleber,1628467
84,Moritz Wagner,1629021
74,Raul Neto,203526
75.5,Stephen Curry,201939
74,T.J. McConnell,204456
80.5,Leandro Bolmaro,1630195
81.25,Jake Layman,1627774
78,Joe Harris,203925
79.25,Kenrich Williams,1629026
79.5,Kevin Huerter,1628989
80.5,Rodney Hood,203918
79.25,Terrence Ross,203082
84.75,Omer Yurtseven,1630209
82.25,Dalano Banton,1630625
80.25,Brandon Clarke,1629634
82,Dean Wade,1629731
78,Dillon Brooks,1628415
83,Domantas Sabonis,1627734
79.5,Evan Fournier,203095
79.75,Gordon Hayward,202330
79,Chris Duarte,1630537
79,Corey Kispert,1630557
77.25,Luke Kennard,1628379
79.25,Tomas Satoransky,203107
76,Tre Mann,1630544
82,Dario Saric,#N/A
73,Sharife Cooper,1630536
83,Santi Aldama,1630583
80.5,Deni Avdija,1630166
83,Mason Plumlee,203486
76,Ty Jerome,1629660
79.5,Josh Giddey,1630581
76.25,Desmond Bane,1630217
83,Frank Kaminsky,1626163
81.75,Kelly Olynyk,203482
72,Kevin Pangos,1630698
75.25,Tyler Herro,1629639
77,Svi Mykhailiuk,1629004
