player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
LaMelo Ball,ballla01,2022,4857,2267,2.689567190300143,-.04042454172039,2.649142648579753,1.623335072684745,-1.64891905493968,-.0255839822549349,2.593619609492353,-.3633955875976229,2.23022402189473,5.890193296596822,5.890193296596822,0,3.789989553554381,.4521114715408168,4.242101025095198,2.254362775491344
Lonzo Ball,balllo01,2022,2528,1212,.6285172568959774,2.357355854902401,2.985873111798378,-1.563682588969574,2.518605717379005,.9549231284094307,.1961999364498318,2.545200626983058,2.74140056343289,3.420321022149617,3.420321022149617,0,.8952352208387834,2.966604082569195,3.861839303407979,.7252688558842494
Mo Bamba,bambamo01,2022,3556,1701,-2.188552006405081,.3711448134031665,-1.817407193001914,-3.909806922364425,-1.08549544777222,-4.995302370136645,-2.599850480289938,.1098741214489053,-2.489976358841033,.2259088873262584,.2259088873262584,0,-3.143970410305529,.5250050890050627,-2.618965321300467,.1095186917612389
Desmond Bane,banede01,2022,4581,2186,2.843368962465583,.7642424034600784,3.607611365925662,2.282323930530623,-1.277764437647472,1.004559492883151,2.844678679218402,.3419254033317672,3.18660408255017,6.593149850160557,6.593149850160557,0,3.087272720114667,1.066427236261978,4.153699956376645,-.4215039074489676
Dalano Banton,bantoda01,2022,1436,691,-2.763273927226218,-.0931374005288866,-2.856411327755104,-2.009437616607472,1.031332755940118,-.9781048606673539,-2.79826228155369,.1173171890312084,-2.680945092522482,.0242764637986494,.0242764637986494,0,-2.877320521379223,-.3452355396755437,-3.222556061054766,-.2820698577477698
Cat Barber,barbeca01,2022,29,13,-18.25626903074702,-1.064686340381379,-19.3209553711284,15.60669444634602,12.56076527034971,28.16745971669573,-12.32118309276991,1.756824369085598,-10.56435872368431,-.0515830867532297,-.0515830867532297,0,-9.95008847081299,-3.196970891055253,-13.14705936186824,-.4751208000883983
Harrison Barnes,barneha02,2022,5158,2447,1.413018454833168,-.6658667300702829,.7471517247628853,1.007059956327785,-5.357908611749043,-4.350848655421258,1.435726061943499,-1.647416797086654,-.2116907351431547,3.183999407996101,3.183999407996101,0,.9397281892602468,-2.096493550113316,-1.15676536085307,.4737369296167958
Scottie Barnes,barnesc01,2022,4880,2415,.7058670240899907,1.043828065204857,1.749695089294848,-3.069151619082986,-.7304937362391367,-3.799645355322123,-.0581617927677444,.7240443258521678,.6658825330844235,4.187566027825183,4.187566027825183,0,.1747889909078142,2.167635593924492,2.342424584832306,-.5046632356864887
RJ Barrett,barrerj01,2022,4662,2290,-.076115070972981,-.4700429453716396,-.5461580163446206,-1.623670134141676,-1.285324267784023,-2.908994401925699,-.3715014256050374,-.6812983502587917,-1.052799775863829,1.995414698042972,1.995414698042972,0,-.181946769520796,-.5153509249757716,-.6972976944965676,.628780387365889
Will Barton,bartowi01,2022,4414,2139,-.126077354198508,-.6795605640687898,-.8056379182672979,-2.042517283275683,-.257533691563794,-2.300050974839477,-.5791077450062554,-.6254115271415048,-1.20451927214776,1.68392737491209,1.68392737491209,0,-.0627633466809868,-1.076049799534811,-1.138813146215798,-.15897773594225
Charles Bassey,bassech01,2022,350,168,-1.021422626587093,2.856118375114598,1.834695748527504,-6.573231253246692,.4753557117362305,-6.097875541510462,-2.24316769804859,2.534489604045882,.2913219059972922,.26100189218658,.26100189218658,0,-2.085546288713779,1.574662193553871,-.5108840951599076,.1223766605965354
Paris Bass,basspa01,2022,16,7,4.831172556641377,-9.64483214763113,-4.813659590989753,-1.440363338347107,17.09913122223453,15.65876788388742,3.538581989970047,-4.8043341542783,-1.265752164308253,.0057761152674251,.0057761152674251,0,-2.472746440401592,-4.115760580887273,-6.588507021288866,8.959573474477635
Keita Bates-Diop,bateske01,2022,1788,842,-2.438253340208167,.9840937184374067,-1.454159621770761,-1.578526727383764,1.860970512437959,.2824437850541945,-2.403423845206431,1.235562374046243,-1.167861471160188,.6775369737359969,.6775369737359969,0,-2.546103967190601,-.0581125411806136,-2.604216508371215,-.3133678719551661
Nicolas Batum,batumni01,2022,2814,1353,-1.127726146788458,1.709365226045221,.5816390792567627,-4.484888506188957,-.6025036571698841,-5.087392163358841,-1.875341020893657,1.30854029536181,-.5668007255318468,1.512848246468566,1.512848246468566,0,-1.555536393052309,1.645107038283516,.0895706452312068,.3835500317733854
Kent Bazemore,bazemke01,2022,1149,531,-2.919115926296151,3.87825447641951,.95913855012336,-4.710195102338051,.8959613872141176,-3.814233715123933,-3.442900096851075,3.51361601053686,.0707159136857842,.7693388719587998,.7693388719587998,0,-2.963050442395839,2.680073653907917,-.2829767884879217,.6749146627138952
Darius Bazley,bazleda01,2022,4045,1924,-3.556652616426334,-.2457978674575427,-3.802450483883876,-3.211296783952249,-3.989462610874389,-7.200759394826639,-3.612156822376931,-1.026970517888959,-4.63912734026589,-1.85309489451676,-1.85309489451676,0,-3.779541880485945,-1.255379781594639,-5.034921662080584,-.0710957751565583
